UF,CIDADE / MUNICÍPIO,BAIRRO,RUA,CEP,CANAL,NOME FANTASIA,CLASSIFICAÇÃO,SEGUNDA A SEXTA,SÁBADOS,DOMINGOS E FERIADOS,Latitude,Longitude,Endereço Completo,Tipo Consulta,Precisão,Erro
GO,ABADIA DE GOIAS,SETOR SANTA BARBARA,AVENIDA COMERCIAL QD. 1. LT. 9 SN,75345970,CORREIOS,AC ABADIA DE GOIAS,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-16.7575547764556,-49.4388443450452,"Avenida Comercial 1, Vila Ns Da Guia - Abadia De Goias, GO",LOGRADOURO - SIMILARIDADE,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
MG,ABADIA DOS DOURADOS,CENTRO,RUA MIZAEL NOGUEIRA 195,38540970,CORREIOS,AC ABADIA DOS DOURADOS,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-18.4848293665641,-47.4030615616839,"Rua Mizael Nogueira 195, Centro - Abadia Dos Dourados, MG",LOGRADOURO,NÚMERO DE PORTA,
MG,ABAETE,CENTRO,RUA JADER DE MOURA 310,35620970,CORREIOS,AC ABAETE,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-19.1577056140012,-45.4480875083537,"Rua Jader De Moura 310 - Abaete, MG",LOGRADOURO,NÚMERO DE PORTA,
PA,ABAETETUBA,CENTRO,"RUA SIQUEIRA MENDES, 381",68440000,FRANQUIAS,LIMA E VILLAR LTDA,SAP,08:00 às 17:00,08:00  às  12:00,NÃO FUNCIONA,-1.73438930375036,-48.8899970795102,"Rua Siqueira Mendes 381, Algodoal - Abaetetuba, PA",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
CE,ABAIARA,CENTRO,RUA JOSE LEITE MARTINS 35,63240970,CORREIOS,AC ABAIARA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-7.35955702293812,-39.0482243691663,"Rua Jose Leite Martins 35, Centro - Abaiara, CE",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
BA,ABAIRA,CENTRO,"PC CAMERINO NOVAIS, 16",46690970,CORREIOS,AC ABAIRA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-13.2502349073986,-41.6651186146722,"Praca Camerino Novais 16, Centro - Abaira, BA",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
BA,ABARE,CENTRO,"AV  MINISTRO OLIVEIRA BRITO, 135",48680970,CORREIOS,AC ABARE,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-8.73004609140652,-39.1165285556067,"Avenida Ministro Oliveira Brito 135, Centro - Abare, BA",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
PR,ABATIA,CENTRO,RUA ELOI PEREIRA 118,86460970,CORREIOS,AC ABATIA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-23.3022978078338,-50.3116554306848,"Rua Eloi Pereira 118, Centro - Abatia, PR",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
SC,ABDON BATISTA,CENTRO,AVENIDA 26 DE ABRIL. 707. SALA 02,89636970,CORREIOS,AC ABDON BATISTA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-27.6024560157183,-51.0321445972278,"Avenida Vinte E Seis De Abril 707, Centro - Abdon Batista, SC",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
SC,ABELARDO LUZ,CENTRO,"AVENIDA GETULIO VARGAS, 678, SALA 01",89830970,CORREIOS,AC ABELARDO LUZ,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-26.566189797257,-52.328039613819,"Avenida Pres Getulio Vargas 678, Centro - Abelardo Luz, SC",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
MG,ABRE CAMPO,CENTRO,RUA DR. CUSTODIO DE PAULA RODRIGUES 19,35365970,CORREIOS,AC ABRE CAMPO,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-20.3025141434662,-42.4784332548857,"Rua Doutor Custodio De Paula Rodrigues 19, Centro - Abre Campo, MG",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
PE,ABREU E LIMA,CENTRO,"AV. BRASIL, 1000",53560970,CORREIOS,AC ABREU E LIMA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-7.90831245437928,-34.9020339604453,"Avenida Brasil 1000, Centro - Abreu E Lima, PE",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
MG,ACAIACA,CENTRO,PRACA TANCREDO NEVES 35,35438970,CORREIOS,AC ACAIACA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-20.3639677640336,-43.1423597941068,"Praca Tancredo Neves 35, Centro - Acaiaca, MG",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
